OBJECTID,GEOID20,ED,name20,2011_district,2024_district,Total Population,White,Black,American Indian,Asian,Native Hawaiian,Some Other,Two or More,Hispanic
2378,3.6029E+14,FIL 3,Block 1002,FILLMORE,FILLMORE,82,53,6,0,9,0,6,8,17
2384,3.6029E+14,ELL 9,Block 1005,ELLICOTT,FILLMORE,102,70,15,2,3,0,6,6,8
2393,3.6029E+14,ELL 24,Block 1021,ELLICOTT,FILLMORE,0,0,0,0,0,0,0,0,0
2394,3.6029E+14,ELL 24,Block 1006,ELLICOTT,FILLMORE,48,43,0,0,0,0,0,5,0
2395,3.6029E+14,FIL 10,Block 1062,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2402,3.6029E+14,FIL 19,Block 1000,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2426,3.6029E+14,FIL 1,Block 1003,FILLMORE,FILLMORE,82,70,7,0,0,0,4,1,5
2427,3.6029E+14,FIL 4,Block 2009,FILLMORE,FILLMORE,50,29,3,1,2,0,0,15,14
2428,3.6029E+14,FIL 3,Block 1014,FILLMORE,FILLMORE,84,34,31,1,15,0,0,3,3
2429,3.6029E+14,FIL 10,Block 1082,FILLMORE,FILLMORE,0,0,0,0,0,0,0,0,0
2443,3.6029E+14,FIL 11,Block 2004,FILLMORE,FILLMORE,51,3,34,0,11,0,1,2,0
2448,3.6029E+14,FIL 18,Block 2011,FILLMORE,FILLMORE,18,3,9,0,0,0,6,0,7
2456,3.6029E+14,FIL 13,Block 2008,FILLMORE,FILLMORE,22,18,0,0,0,0,1,3,3
2457,3.6029E+14,FIL 13,Block 2011,FILLMORE,FILLMORE,73,67,5,0,0,0,0,1,1
2462,3.6029E+14,FIL 10,Block 1015,FILLMORE,FILLMORE,12,5,3,0,0,0,0,4,3
2464,3.6029E+14,FIL 5,Block 3002,FILLMORE,FILLMORE,63,25,0,0,3,0,8,27,39
2465,3.6029E+14,FIL 4,Block 1010,FILLMORE,FILLMORE,48,39,1,0,0,0,3,5,8
2466,3.6029E+14,FIL 7,Block 1006,FILLMORE,FILLMORE,12,3,5,0,0,0,3,1,7
2500,3.6029E+14,FIL 20,Block 1010,FILLMORE,FILLMORE,32,5,19,0,0,0,4,4,8
2501,3.6029E+14,FIL 22,Block 1011,FILLMORE,FILLMORE,20,4,4,0,0,0,0,12,8
2502,3.6029E+14,FIL 20,Block 1007,FILLMORE,FILLMORE,123,21,92,0,2,0,0,8,5
2503,3.6029E+14,FIL 22,Block 1022,FILLMORE,FILLMORE,40,5,26,0,0,0,6,3,7
2504,3.6029E+14,FIL 18,Block 1007,FILLMORE,FILLMORE,16,0,15,0,0,0,0,1,1
2505,3.6029E+14,FIL 18,Block 1006,FILLMORE,FILLMORE,65,5,45,1,8,0,5,1,5
2506,3.6029E+14,FIL 18,Block 1024,FILLMORE,FILLMORE,23,0,13,0,0,0,0,10,2
2507,3.6029E+14,FIL 18,Block 2002,FILLMORE,FILLMORE,15,1,8,0,0,0,1,5,3
2508,3.6029E+14,FIL 18,Block 2010,FILLMORE,FILLMORE,36,20,13,0,0,0,2,1,8
2509,3.6029E+14,FIL 18,Block 2006,FILLMORE,FILLMORE,40,19,9,0,9,0,0,3,2
