ED,CANDIDATE,PARTY,VOTES,YEAR,RACE
FIL 008,David A. Franczyk,Conservative,1,2011,Council
FIL 008,David A. Franczyk,Democratic,12,2011,Council
FIL 008,David A. Franczyk,Republican,9,2011,Council
FIL 008,David A. Franczyk,Working Families,1,2011,Council
FIL 008,Samuel A. Herbert,Write-In,0,2011,Council
FIL 008,"Blank, Void & Scattering                                                                     ",n/a,0,2011,County Executive
FIL 008,Chris Collins,Conservative,1,2011,County Executive
FIL 008,Chris Collins,Independence,1,2011,County Executive
FIL 008,Chris Collins,Republican,10,2011,County Executive
FIL 008,Mark C. Poloncarz,Democratic,15,2011,County Executive
FIL 008,Mark C. Poloncarz,Working Families,0,2011,County Executive
FIL 008,Barack Obama/Joe Biden,Democratic,415,2012,President
FIL 008,Barack Obama/Joe Biden,Working Families,14,2012,President
FIL 008,"Blank, Void & Scattering                                                                     ",n/a,8,2012,President
FIL 008,Gary Johnson/James P. Gray,Libertarian,5,2012,President
FIL 008,Jill Stein/Cheri Honkala,Green,3,2012,President
FIL 008,Mitt Romney/Paul Ryan,Conservative,13,2012,President
FIL 008,Mitt Romney/Paul Ryan,Republican,120,2012,President
FIL 008,Peta Lindsay/Yari Osorio,Socialism and Lib,0,2012,President
FIL 008,"President, Write In",n/a,0,2012,President
FIL 008,Virgil Goode/Jim Clymer,Constitution,0,2012,President
FIL 008,"Blank, Void & Scattering                                                                     ",n/a,14,2013,Mayor
FIL 008,Byron W. Brown,Conservative,8,2013,Mayor
FIL 008,Byron W. Brown,Democratic,147,2013,Mayor
FIL 008,Byron W. Brown,Independence,3,2013,Mayor
FIL 008,Byron W. Brown,Working Families,3,2013,Mayor
FIL 008,Sergio R. Rodriguez,Progressive,19,2013,Mayor
FIL 008,Sergio R. Rodriguez,Republican,102,2013,Mayor
FIL 008,"Blank, Void & Scattering                                                                     ",n/a,16,2015,County Executive
FIL 008,Eric Jones,Green,1,2015,County Executive
FIL 008,Mark C. Poloncarz,Democratic,159,2015,County Executive
FIL 008,Mark C. Poloncarz,Working Families,13,2015,County Executive
FIL 008,Mark C. Poloncarz,Women's Equality,4,2015,County Executive
FIL 008,Raymond W. Walter,Republican,29,2015,County Executive
FIL 008,Raymond W. Walter,Independence,1,2015,County Executive
FIL 008,Raymond W. Walter,Reform,0,2015,County Executive
FIL 008,Raymond W. Walter,Conservative,10,2015,County Executive
FIL 008,"Blank, Void & Scattering                                                                     ",n/a,31,2015,Council
FIL 008,David A. Franczyk,Democratic,124,2015,Council
FIL 008,David A. Franczyk,Republican,26,2015,Council
FIL 008,David A. Franczyk,Working Families,12,2015,Council
FIL 008,David P. Howard,Independence,40,2015,Council
FIL 008,"Blank, Void, & Scattering",n/a,7,2016,President
FIL 008,Donald J Trump/ Michael R Pence,Republican,121,2016,President
FIL 008,Donald J Trump/ Michael R Pence,Conservative,15,2016,President
FIL 008,Gary Johnson/ Bill Weld,Independence,10,2016,President
FIL 008,Gary Johnson/ Bill Weld,Libertarian,6,2016,President
FIL 008,Hillary Clinton/ Tim Kaine,Women's Equality,4,2016,President
FIL 008,Hillary Clinton/ Tim Kaine,Working Families,14,2016,President
FIL 008,Hillary Clinton/ Tim Kaine,Democratic,388,2016,President
FIL 008,Jill Stein/ Ajamu Baraka,Green,11,2016,President
FIL 008,"President, Write In",n/a,0,2016,President
FIL 008,Anita L Howard,Conservative,15,2017,Mayor
FIL 008,"Blank, Void & Scattering                                                                     ",n/a,21,2017,Mayor
FIL 008,Byron W Brown,Democratic,147,2017,Mayor
FIL 008,Byron W Brown,Independence,5,2017,Mayor
FIL 008,Byron W Brown,Women's Equality,1,2017,Mayor
FIL 008,Byron W Brown,Working Families,4,2017,Mayor
FIL 008,Mark J F Schroeder,Reform,109,2017,Mayor
FIL 008,Taniqua Simmons,Write-In,1,2017,Mayor
FIL 008,Terrence A Robinson,Green,9,2017,Mayor
FIL 008,"Blank, Void, & Scattering",n/a,26,2018,Senate
FIL 008,Chele Chiavacci Farley,Conservative,22,2018,Senate
FIL 008,Chele Chiavacci Farley,Reform,2,2018,Senate
FIL 008,Chele Chiavacci Farley,Republican,93,2018,Senate
FIL 008,Kirsten E Gillibrand,Democratic,337,2018,Senate
FIL 008,Kirsten E Gillibrand,Independence,11,2018,Senate
FIL 008,Kirsten E Gillibrand,Women's Equality,9,2018,Senate
FIL 008,Kirsten E Gillibrand,Working Families,12,2018,Senate
FIL 008,Andrew M Cuomo/ Kathy C Hochul,Democratic,338,2018,Governor
FIL 008,Andrew M Cuomo/ Kathy C Hochul,Independence,11,2018,Governor
FIL 008,Andrew M Cuomo/ Kathy C Hochul,Working Families,12,2018,Governor
FIL 008,Andrew M Cuomo/ Kathy C Hochul,Women's Equality,7,2018,Governor
FIL 008,"Blank, Void, & Scattering",n/a,7,2018,Governor
FIL 008,Howie Hawkins/ Jia Lee,Green,4,2018,Governor
FIL 008,Larry Sharpe/ Andrew C Hollister,Libertarian,5,2018,Governor
FIL 008,Marc Molinaro/ Julie Killian,Conservative,21,2018,Governor
FIL 008,Marc Molinaro/ Julie Killian,Reform,2,2018,Governor
FIL 008,Marc Molinaro/ Julie Killian,Republican,97,2018,Governor
FIL 008,Stephanie A Miner/ Michael J Volpe,SAM,7,2018,Governor
FIL 008,"Blank, Void, & Scattering",n/a,71,2019,Legislature
FIL 008,Howard J. Johnson Jr.,Democratic,161,2019,Legislature
FIL 008,Katrinna Martin,Working Families,43,2019,Legislature
FIL 008,Tara Craig,Write-In,0,2019,Legislature
FIL 008,"Blank, Void, & Scattering",n/a,6,2019,County Executive
FIL 008,Lynne Dixon,Conservative,16,2019,County Executive
FIL 008,Lynne Dixon,Independence,6,2019,County Executive
FIL 008,Lynne Dixon,Republican,53,2019,County Executive
FIL 008,Lynne Dixon,SAM,1,2019,County Executive
FIL 008,Mark C. Poloncarz,Democratic,179,2019,County Executive
